rank	title	link	year	genre	description
56	The Irishman	https://www.imdb.com/title/tt1302006/?ref_=adv_li_tt	2019	Biography, Crime, Drama	An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.
57	Jurassic Park	https://www.imdb.com/title/tt0107290/?ref_=adv_li_tt	1993	Action, Adventure, Sci-Fi	A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
58	Heat	https://www.imdb.com/title/tt0113277/?ref_=adv_li_tt	1995	Action, Crime, Drama	A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
59	Gone Girl	https://www.imdb.com/title/tt2267998/?ref_=adv_li_tt	2014	Drama, Mystery, Thriller	With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.
60	Sicario	https://www.imdb.com/title/tt3397884/?ref_=adv_li_tt	2015	Action, Crime, Drama	An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
61	Parasite	https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt	2019	Drama, Thriller	Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
62	Prisoners	https://www.imdb.com/title/tt1392214/?ref_=adv_li_tt	2013	Crime, Drama, Mystery	When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.
63	The Whale	https://www.imdb.com/title/tt13833688/?ref_=adv_li_tt	2022	Drama	A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.
64	The Sandlot	https://www.imdb.com/title/tt0108037/?ref_=adv_li_tt	1993	Comedy, Drama, Family	In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.
65	The Prestige	https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt	2006	Drama, Mystery, Sci-Fi	After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.
66	Psycho	https://www.imdb.com/title/tt0054215/?ref_=adv_li_tt	1960	Horror, Mystery, Thriller	A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.
67	Inglourious Basterds	https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt	2009	Adventure, Drama, War	In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.
68	Forrest Gump	https://www.imdb.com/title/tt0109830/?ref_=adv_li_tt	1994	Drama, Romance	The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.
69	The Big Short	https://www.imdb.com/title/tt1596363/?ref_=adv_li_tt	2015	Biography, Comedy, Drama	In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.
70	The Goonies	https://www.imdb.com/title/tt0089218/?ref_=adv_li_tt	1985	Adventure, Comedy, Family	A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
71	Whiplash	https://www.imdb.com/title/tt2582802/?ref_=adv_li_tt	2014	Drama, Music	A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
72	No Country for Old Men	https://www.imdb.com/title/tt0477348/?ref_=adv_li_tt	2007	Crime, Drama, Thriller	Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
73	The Princess Bride	https://www.imdb.com/title/tt0093779/?ref_=adv_li_tt	1987	Adventure, Comedy, Family	A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.
74	The Dark Knight Rises	https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt	2012	Action, Drama, Thriller	Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.
75	Shutter Island	https://www.imdb.com/title/tt1130884/?ref_=adv_li_tt	2010	Mystery, Thriller	Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.
